applicant_id,predicted_damage_incident
0,1
1,1
2,0
3,0
4,0
5,1
6,1
7,1
8,0
9,0
10,1
11,1
12,0
13,1
14,0
15,0
16,1
17,1
18,1
19,1
20,1
21,0
22,0
23,1
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,0
34,0
35,1
36,0
37,0
38,0
39,1
40,0
41,0
42,1
43,1
44,1
45,1
46,0
47,0
48,0
49,1
50,1
51,0
52,1
53,0
54,1
55,0
56,0
57,0
58,0
59,1
60,1
61,1
62,1
63,0
64,1
65,0
66,0
67,0
68,0
69,0
70,1
71,1
72,1
73,0
74,1
75,0
76,1
77,0
78,1
79,1
80,1
81,0
82,0
83,0
84,0
85,0
86,1
87,0
88,0
89,1
90,0
91,1
92,0
93,0
94,0
95,0
96,1
97,1
98,0
99,1
100,1
101,0
102,1
103,0
104,0
105,0
106,0
107,0
108,0
109,0
110,0
111,1
112,1
113,0
114,1
115,0
116,1
117,0
118,1
119,0
120,1
121,1
122,0
123,1
124,0
125,0
126,0
127,1
128,1
129,0
130,0
131,0
132,1
133,0
134,0
135,0
136,1
137,0
138,0
139,1
140,1
141,1
142,0
143,1
144,1
145,0
146,0
147,1
148,1
149,1
150,1
151,0
152,1
153,0
154,0
155,1
156,1
157,1
158,1
159,1
160,1
161,1
162,0
163,0
164,1
165,1
166,1
167,1
168,1
169,1
170,0
171,1
172,0
173,0
174,1
175,1
176,1
177,0
178,1
179,0
180,0
181,1
182,0
183,0
184,1
185,0
186,0
187,0
188,1
189,1
190,0
191,1
192,1
193,0
194,0
195,0
196,1
197,0
198,1
199,0
200,0
201,0
202,0
203,0
204,0
205,1
206,1
207,0
208,0
209,0
210,1
211,1
212,1
213,0
214,0
215,0
216,1
217,0
218,0
219,1
220,0
221,0
222,1
223,1
224,1
225,0
226,1
227,0
228,0
229,0
230,0
231,1
232,0
233,1
234,1
235,0
236,1
237,0
238,0
239,0
240,0
241,1
242,1
243,1
244,0
245,0
246,1
247,0
248,0
249,1
250,0
251,0
252,0
253,0
254,0
255,1
256,1
257,0
258,0
259,1
260,0
261,1
262,0
263,0
264,1
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,1
274,1
275,0
276,0
277,1
278,0
279,1
280,1
281,1
282,0
283,0
284,0
285,1
286,1
287,0
288,1
289,0
290,0
291,1
292,1
293,0
294,0
295,0
296,0
297,1
298,0
299,0
300,0
301,0
302,1
303,0
304,0
305,0
306,1
307,1
308,1
309,0
310,1
311,1
312,0
313,0
314,1
315,1
316,1
317,1
318,0
319,0
320,1
321,1
322,0
323,0
324,0
325,1
326,1
327,0
328,1
329,1
330,1
331,0
332,0
333,1
334,0
335,0
336,1
337,0
338,1
339,1
340,0
341,1
342,0
343,0
344,0
345,1
346,1
347,0
348,0
349,0
350,0
351,1
352,1
353,0
354,0
355,0
356,0
357,0
358,1
359,1
360,1
361,0
362,1
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,1
371,0
372,0
373,0
374,0
375,1
376,0
377,1
378,0
379,0
380,1
381,1
382,1
383,1
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,1
393,1
394,0
395,0
396,0
397,0
398,0
399,0
400,1
401,1
402,0
403,0
404,0
405,0
406,1
407,0
408,1
409,1
410,0
411,0
412,1
413,0
414,1
415,0
416,0
417,0
418,0
419,0
420,0
421,1
422,0
423,1
424,0
425,0
426,1
427,1
428,0
429,0
430,0
431,0
432,0
433,0
434,0
435,1
436,0
437,1
438,1
439,1
440,0
441,1
442,1
443,0
444,1
445,0
446,0
447,1
448,0
449,0
450,1
451,1
452,0
453,0
454,0
455,1
456,1
457,1
458,0
459,1
460,0
461,0
462,1
463,1
464,0
465,1
466,0
467,1
468,1
469,0
470,0
471,1
472,1
473,1
474,0
475,0
476,0
477,1
478,1
479,0
480,0
481,0
482,1
483,0
484,0
485,0
486,0
487,0
488,0
489,1
490,1
491,0
492,0
493,1
494,1
495,0
496,1
497,1
498,0
499,0
