applicant_id,predicted_damage_amount,predicted_damage_incident,predicted_revenue,predicted_profit
0,0.0,0,2112.740230872515,2112.740230872515
1,0.0,0,2224.8490029887266,2224.8490029887266
7,0.0,0,2309.3459156970785,2309.3459156970785
8,0.0,0,3326.684684370533,3326.684684370533
15,0.0,0,2426.668743303892,2426.668743303892
19,0.0,0,1956.4096848956028,1956.4096848956028
21,0.0,0,1969.7339565306104,1969.7339565306104
24,0.0,0,1973.072258528108,1973.072258528108
25,0.0,0,2889.5812249255514,2889.5812249255514
26,0.0,0,2009.570055130661,2009.570055130661
30,0.0,0,1965.0414526103164,1965.0414526103164
31,0.0,0,2927.750684014911,2927.750684014911
38,0.0,0,2152.894763639317,2152.894763639317
43,0.0,0,2055.993945705909,2055.993945705909
45,0.0,0,4549.817352799913,4549.817352799913
48,0.0,0,3445.819595638804,3445.819595638804
50,0.0,0,2153.8755256754885,2153.8755256754885
52,0.0,0,2051.462134718268,2051.462134718268
53,0.0,0,2166.8601095050503,2166.8601095050503
54,0.0,0,2048.606114802389,2048.606114802389
55,0.0,0,2180.5997704398706,2180.5997704398706
58,0.0,0,2865.7334112053672,2865.7334112053672
62,0.0,0,1994.142941779847,1994.142941779847
64,0.0,0,2151.516285666773,2151.516285666773
66,0.0,0,2221.9824294830632,2221.9824294830632
67,0.0,0,2073.443682117634,2073.443682117634
68,0.0,0,2134.7014725189183,2134.7014725189183
71,0.0,0,2205.616842713981,2205.616842713981
72,0.0,0,1970.1431068104416,1970.1431068104416
74,0.0,0,3598.3807022343367,3598.3807022343367
75,0.0,0,2341.7308075797755,2341.7308075797755
77,0.0,0,2389.526649938459,2389.526649938459
78,0.0,0,3167.214464845595,3167.214464845595
81,0.0,0,4159.745003597785,4159.745003597785
84,0.0,0,3394.0012905051376,3394.0012905051376
85,0.0,0,3646.40396647263,3646.40396647263
90,0.0,0,1952.6742212962504,1952.6742212962504
91,0.0,0,2082.586620004144,2082.586620004144
94,0.0,0,2017.396327807665,2017.396327807665
96,0.0,0,2973.505487672311,2973.505487672311
98,0.0,0,3084.136158317453,3084.136158317453
100,0.0,0,6132.511229667523,6132.511229667523
102,0.0,0,2190.2834011220984,2190.2834011220984
103,0.0,0,2011.413467176997,2011.413467176997
104,0.0,0,2394.092206563931,2394.092206563931
105,0.0,0,2130.976051853601,2130.976051853601
115,0.0,0,1965.9950223914057,1965.9950223914057
117,0.0,0,3294.351948264991,3294.351948264991
119,0.0,0,2091.882349868007,2091.882349868007
121,0.0,0,2220.178850255061,2220.178850255061
122,0.0,0,2072.1947910952977,2072.1947910952977
124,0.0,0,2810.2046651012724,2810.2046651012724
126,0.0,0,2033.2411231598087,2033.2411231598087
132,60.986,1,2273.730647085601,2212.744647085601
139,0.0,0,2051.1524854147992,2051.1524854147992
140,0.0,0,2208.2131588557386,2208.2131588557386
143,0.0,0,2129.706550953187,2129.706550953187
146,0.0,0,2107.3224098555465,2107.3224098555465
147,0.0,0,1954.253976726168,1954.253976726168
149,0.0,0,2152.596415325398,2152.596415325398
150,0.0,0,2194.354401683696,2194.354401683696
152,0.0,0,2115.3174930912915,2115.3174930912915
153,0.0,0,2338.2912298831056,2338.2912298831056
154,0.0,0,4171.498526694659,4171.498526694659
155,0.0,0,2151.295695272283,2151.295695272283
158,0.0,0,2554.3375554555823,2554.3375554555823
160,0.0,0,2282.911592370764,2282.911592370764
162,0.0,0,2656.399780102121,2656.399780102121
163,0.0,0,2407.775993305385,2407.775993305385
165,0.0,0,1963.8282271848743,1963.8282271848743
170,0.0,0,2716.242224621618,2716.242224621618
171,0.0,0,2130.8921771657847,2130.8921771657847
174,0.0,0,2542.016704187959,2542.016704187959
175,0.0,0,2924.964914720608,2924.964914720608
178,0.0,0,2064.764204727423,2064.764204727423
179,0.0,0,4078.261670357736,4078.261670357736
181,0.0,0,1948.1760142621813,1948.1760142621813
183,0.0,0,2038.1485133268657,2038.1485133268657
184,0.0,0,2074.459823205444,2074.459823205444
190,0.0,0,3462.62756876284,3462.62756876284
191,151.62,1,2414.500344374206,2262.8803443742063
192,0.0,0,2221.457109583899,2221.457109583899
193,0.0,0,2029.3482139261607,2029.3482139261607
196,0.0,0,2121.332048845047,2121.332048845047
197,0.0,0,1946.793538162311,1946.793538162311
